Input Range,Setup (s),Generate Random Input (s),DB Conversion (s),Update Client (s),Update Server (s),Search 1 Client (s),Search 1 Server (s),Search 2 Client (s),Search 2 Server (s),C1 (Updates),C2 (Updates),Post Processing (s)
10,0.05396206666666667,2.1785666666666667e-05,8.534e-06,0.000649818,0.00014249433333333333,2.9400000000000002e-06,9.380666666666666e-06,3.245666666666667e-06,9.929333333333332e-06,2.0,2.0,3.852666666666667e-06
25,0.05612929999999999,3.2990333333333335e-05,1.4767666666666666e-05,0.0017974366666666667,0.00027886766666666667,3.7159999999999997e-06,1.1508666666666667e-05,4.139666666666666e-06,1.1457333333333335e-05,2.0,2.0,6.010000000000001e-06
50,0.054361233333333335,3.153933333333334e-05,1.7252666666666668e-05,0.00179922,0.00032002833333333335,2.9426666666666664e-06,9.409333333333333e-06,3.1786666666666668e-06,9.090666666666667e-06,2.0,2.0,3.1016666666666665e-06
75,0.0546289,3.4707e-05,2.6331333333333333e-05,0.0031520966666666664,0.0005177976666666667,2.9966666666666666e-06,9.898333333333333e-06,3.5346666666666664e-06,9.766333333333333e-06,2.0,2.0,4.3903333333333335e-06
100,0.0555038,4.164366666666667e-05,3.6950666666666665e-05,0.004599546666666667,0.0007229749999999999,3.146e-06,1.1112e-05,3.899333333333333e-06,1.0773e-05,2.0,2.0,4.270666666666667e-06
250,0.054297933333333326,6.180633333333333e-05,9.331966666666666e-05,0.008879240000000002,0.0016435199999999999,2.52e-06,8.335333333333333e-06,2.9073333333333335e-06,7.976e-06,2.0,2.0,3.164666666666667e-06
500,0.05602276666666667,0.00010045733333333334,0.00017156599999999998,0.019744033333333334,0.0035507033333333337,3.0040000000000004e-06,1.0493666666666666e-05,3.823666666666667e-06,1.0154e-05,2.0,2.0,5.129666666666666e-06
750,0.057205733333333335,0.000150788,0.00027732666666666663,0.03391396666666666,0.0057410433333333335,3.471e-06,1.2197e-05,4.722e-06,1.2806666666666667e-05,2.0,2.0,6.2383333333333335e-06
1000,0.05676676666666666,0.00019850300000000002,0.0003512213333333334,0.039328433333333336,0.006049273333333333,2.7096666666666667e-06,9.478333333333332e-06,3.4573333333333333e-06,8.630666666666667e-06,2.0,2.0,3.951e-06
2500,0.06182126666666667,0.000480685,0.0010278656666666665,0.09494140000000001,0.0141458,2.975333333333333e-06,1.0320333333333335e-05,4.068333333333334e-06,9.426666666666667e-06,2.0,2.0,5.466000000000001e-06
5000,0.061780100000000004,0.0010257976666666667,0.0021045066666666667,0.17512933333333336,0.031554266666666664,2.702e-06,9.649666666666667e-06,4.3223333333333335e-06,9.24e-06,2.0,2.0,5.953e-06
7500,0.06260536666666668,0.0012352866666666667,0.0028911733333333335,0.2609346666666667,0.04378776666666667,3.031e-06,1.0613333333333334e-05,6.218333333333334e-06,1.0243999999999999e-05,2.0,2.0,7.122666666666668e-06
10000,0.06272620000000001,0.00181087,0.004033763333333333,0.35374066666666665,0.059594633333333334,2.6336666666666665e-06,9.415666666666665e-06,5.045000000000001e-06,8.698666666666667e-06,2.0,2.0,6.702666666666666e-06
25000,0.06356486666666666,0.004378536666666666,0.011068666666666666,0.8831899999999999,0.15697166666666668,3.5603333333333334e-06,1.1600333333333331e-05,7.392999999999999e-06,1.2592333333333333e-05,2.0,2.0,1.4386e-05
50000,0.0653455,0.010223533333333335,0.0273031,1.7424433333333333,0.3093023333333333,3.0846666666666665e-06,9.626666666666665e-06,6.4319999999999996e-06,1.0203333333333333e-05,2.0,2.0,2.2118666666666665e-05
75000,0.0641179,0.01725036666666667,0.0417297,2.618813333333333,0.4852803333333333,3.24e-06,1.1102000000000001e-05,6.936333333333333e-06,1.1154999999999999e-05,2.0,2.0,3.3404e-05
100000,0.06313629999999999,0.0195784,0.046112099999999996,3.5212233333333334,0.6682103333333332,2.9413333333333335e-06,1.0660666666666666e-05,9.015333333333333e-06,1.0833666666666666e-05,2.0,2.0,4.520566666666667e-05
250000,0.06242866666666667,0.040956766666666665,0.11681899999999999,8.91032,1.86976,3.171666666666667e-06,1.0393333333333333e-05,7.586333333333333e-06,9.370333333333332e-06,2.0,2.0,0.00010315833333333334
500000,0.06042486666666667,0.09299430000000002,0.23707666666666669,17.7878,3.7369800000000004,3.7573333333333334e-06,1.4426666666666669e-05,9.222666666666667e-06,1.0427666666666668e-05,2.0,2.0,0.00011994933333333332
750000,0.06197653333333334,0.154036,0.3564096666666667,27.011533333333333,5.745863333333332,7.147e-06,1.7163e-05,7.2063333333333325e-06,1.1126999999999999e-05,2.0,2.0,0.0002057906666666667
1000000,0.06240950000000001,0.205426,0.4906173333333333,36.38563333333333,7.520893333333333,4.844666666666667e-06,1.7928e-05,7.879666666666667e-06,1.1028333333333332e-05,2.0,2.0,0.00020086166666666665
